|0|1|2
85|จ.ระยอง|อ.เมือง|ต.เชิงเนิน
86|จ.ราชบุรี|อำเภอเมืองราชบุรี|ตำบลหน้าเมือง
87|จ.ยะลา|อ.รามัน|ต.กายูบอเกาะ
88|จ.นราธิวาส|อ.รือเสาะ|ต.รือเสาะออก
89|จ.ตรัง|อ.เมือง|ต.ทับเที่ยง
90|จ.สตูล|อำเภอละงู|ตำบลละงู
91|จ.ลำปาง|อ.เมือง|ต.สวนดอก
92|จ.ลำพูน|อำเภอเมืองลำพูน|ตำบลในเมือง
93|จ.นราธิวาส|อ.แว้ง|ต.แว้ง
94|จ.ศรีสะเกษ|อำเภอเมืองศรีสะเกษ|ตำบลเมืองใต้
95|จ.กรุงเทพมหานคร|เขตหลักสี่|แขวงทุ่งสองห้อง
96|จ.สกลนคร|อำเภอเมือง|ตำบลธาตุเชิงชุม
97|จ.กรุงเทพมหานคร|เขตตลิ่งชัน|แขวงฉิมพลี
98|จ.สมุทรสาคร|อำเภอเมืองสมุทรสาคร|ตำบลมหาชัย
99|จ.เชียงใหม่|อ.เมือง|ต.วัดเกต
100|จ.ปัตตานี|อ.สายบุรี|ต.ตะลุบัน
101|จ.กรุงเทพมหานคร|เขตบางแค|แขวงบางไผ่
102|จ.กรุงเทพมหานคร|เขตบางรัก|แขวงสุริยวงศ์
103|จ.สุโขทัย|อำเภอเมืองสุโขทัย|ตำบลธานี
104|จ.สุพรรณบุรี|อำเภอเมืองสุพรรณบุรี|ตำบลท่าพี่เลี้ยง
105|จ.สุราษฎร์ธานี|อ.เมือง|ต.ตลาด
106|จ.สุรินทร์|อำเภอเมืองสุรินทร์|ตำบลในเมือง
107|จ.สมุทรปราการ|อ.บางพลี|ต.หนองปรือ
108|จ.นราธิวาส|อ.สุไหงโก-ลก|ต.สุไหงโก-ลก
109|จ.กรุงเทพมหานคร|เขตหนองจอก|แขวงกระทุ่มราย
110|จ.ประจวบคีรีขันธ์|อำเภอหัวหิน|ตำบลหัวหิน
111|จ.เชียงใหม่|อ.หางดง|ต.บ้านแหวน
112|จ.อุตรดิตถ์|อำเภอเมือง|ตำบลท่าอิฐ
113|จ.อุบลราชธานี|อำเภอเมืองอุบลราชธานี|ตำบลในเมือง
114|จ.กรุงเทพมหานคร|เขตวัฒนา|แขวงคลองเตยเหนือ
115|จ.กรุงเทพมหานคร|เขตวัฒนา|แขวงคลองเตยเหนือ
116|จังหวัดสงขลา|อำเภอหาดใหญ่|ตำบลหาดใหญ่
