|0|1|2
0|จังหวัดชลบุรี|อำเภอศรีราชา|ตำบลทุ่งสุขลา
1|จังหวัดกรุงเทพมหานคร|เขตคันนายาว|แขวงคันนายาว
2|จังหวัดเชียงใหม่|อำเภอเมืองเชียงใหม่|ตำบลป่าตัน
3|จังหวัดสงขลา|อำเภอหาดใหญ่|ตำบลหาดใหญ่
4|จังหวัดกรุงเทพมหานคร|เขตพญาไท|แขวงสามเสนใน
5|จังหวัดกรุงเทพมหานคร|เขตบางนา|แขวงบางนา
6|จังหวัดปทุมธานี|อำเภอธัญบุรี|ตำบลประชาธิปัตย์
7|จังหวัดกรุงเทพมหานคร|เขตคลองเตย|แขวงคลองตัน
8|จังหวัดกรุงเทพมหานคร|เขตบางขุนเทียน|แขวงแสมดำ
9|จังหวัดขอนแก่น|อำเภอเมืองขอนแก่น|ตำบลในเมือง
