|0|1|2
88|จ.อุทัยธานี|อ.เมือง|ต.อุทัยใหม่
89|จ.ลำพูน|อ.เมือง|ต.ในเมือง
90|จ.พะเยา|อ.เมือง|ถ.ท่ากว๊าน
91|จ.แม่ฮ่องสอน|อ.เมือง|ต.จองคำ
92|จ.น่าน|อ.เมือง|ต.ในเวียง
93|จ.ยโสธร|อ.เมือง|ต.ในเมือง
94|จ.สุรินทร์|อ.เมือง|ต.ในเมือง
95|จ.ชัยภูมิ|อ.เมือง|ต.ในเมือง
96|จ.ศรีสะเกษ|อ.เมือง|ต.ในเมือง
97|จ.บุรีรัมย์|อ.เมือง|ต.ในเมือง
98|จ.สกลนคร|อ.เมือง|ต.ธาตุเชิงชุม
99|จ.นครพนม|อ.เมือง|ถ.เฟื่องนคร
100|จ.เลย|อ.เมือง|ถ.เจริญรัฐ
101|จ.กาฬสินธุ์|อ.เมือง|ต.กาฬสินธุ์
102|จ.พัทลุง|อ.เมือง|ถ.นิวาส
103|จ.สตูล|อ.เมือง|ถนนบุรีจานิช
104|จ.ปัตตานี|อ.เมือง|ถนนยะรัง
105|จ.นราธิวาส|อ.เมือง|ถ.พิชิตบำรุง
106|จ.กระบี่|อ.เมือง|ถ.อุดรกิจ
107|จ.กรุงเทพมหานคร|เขตจตุจักร|แขวงลาดยาว
108|จ.กรุงเทพมหานคร|เขตดุสิต|แขวงจิตรลดา
109|จ.กรุงเทพมหานคร|แขวงราชบพิตร|ถ.อัษฎางค์
110|จ.กรุงเทพมหานคร|เขตจตุจักร|แขวงลาดยาว
111|จ.ลำปาง|อ.เกาะคา|ต.ศาลา
112|จ.ชัยภูมิ|อ.จตุรัส|ต.บ้านกอก
113|จ.ชลบุรี|อ.สัตหีบ|7
114|จ.จันทบุรี|อ.เมือง|ถ.ราชกิจ
115|จ.กรุงเทพมหานคร|เขตพระโขนง|แขวงบางนา
116|จ.กรุงเทพมหานคร|เขตสัมพันธวงศ์|แขวงจักรวรรดิ
117|จ.มุกดาหาร|อ.เมือง|ถ.พิทักษ์สันติราษฎร์
118|จ.พระนครศรีอยุธยา|อ.เสนา|ต.เสนา
119|จ.พระนครศรีอยุธยา|อ.ภาชี|ต.ภาชี
120|จ.พระนครศรีอยุธยา|ต.ท่าเรือ|ถ.ท่าเรือ-พระพุทธบาท
121|จ.พระนครศรีอยุธยา|อ.ผักไห่|ต.ผักไห่
122|จ.พระนครศรีอยุธยา|อ.บ้านแพรก|ต.สำพะเนียง
123|จ.พระนครศรีอยุธยา|อ.มหาราช|ต.หัวไผ่
124|จ.พระนครศรีอยุธยา|อ.บางปะอิน|ต.บ้านเลน
125|จ.พระนครศรีอยุธยา|อ.อุทัย|ต.อุทัย
126|จ.พระนครศรีอยุธยา|อ.บางปะหัน|ต.ขวัญเมือง
127|จ.ปทุมธานี|อำเภอลำลูกกา|ตำบลลำลูกกา
128|จ.สมุทรสงคราม|อ.อัมพวา|ถ.พวงสมบูรณ์
129|จ.สมุทรสงคราม|อ.บางคนที|ต.กระดังงา
130|จ.สมุทรสาคร|อ.กระทุ่มแบน|ถ.สุคนธวิท
131|จ.สมุทรสาคร|อ.บ้านแพ้ว|ต.บ้านแพ้ว
132|จ.นครปฐม|อ.สามพราน|ถ.เข้าที่ว่าการ
133|จ.นครปฐม|อ.บางเลน|ถ.พลดำริห์
134|จ.ราชบุรี|อ.ดำเนินสะดวก|ถ.สายบางแพ-ดำเนินสะดวก
135|จ.ราชบุรี|อ.โพธาราม|ถ.โพธาราม
136|จ.ราชบุรี|อ.ปากท่อ|ถ.ราษฎร์เกษม
137|จ.ราชบุรี|อ.จอมบึง|ถ.ราชบุรี-จอมบึง
138|จ.สุพรรณบุรี|อ.สองพี่น้อง|ต.สองพี่น้อง
139|จ.สุพรรณบุรี|อ.สามชุก|ต.สามชุก
140|จ.สุพรรณบุรี|อ.ศรีประจันต์|ต.ศรีประจันต์
141|จ.สุพรรณบุรี|อ.เดิมบางนางบวช|ต.เขาพระ
142|จ.สุพรรณบุรี|อ.บางปลาม้า|ต.โคกคราม
143|จ.สุพรรณบุรี|อ.อู่ทอง|ถ.ท้าวอู่ทอง
144|จ.เพชรบุรี|อ.ท่ายาง|ถนนใหญ่
145|จ.เพชรบุรี|อ.บ้านแหลม|-บ้านแหลม
146|จ.เพชรบุรี|อ.ชะอำ|ถนนเพชรเกษม
147|จ.ประจวบคีรีขันธ์|อ.หัวหิน|ถนนดำเนินเกษม
148|จ.ประจวบคีรีขันธ์|อ.ทับสะแก|ถนนสุขาภิบาล
149|จ.ประจวบคีรีขันธ์|อ.ปราณบุรี|ถนนค่ายธนะรัชต์
150|จ.กาญจนบุรี|อ.ท่ามะกา|ถนนแสงชูโต
151|จ.กาญจนบุรี|อ.ท่าม่วง|ถนนแสงชูโต
152|จ.กาญจนบุรี|อ.ท่ามะกา|ถนนแสงชูโต
153|จ.กาญจนบุรี|อ.พนมทวน|ถ.อู่ทอง-กาญจนบุรี
154|จ.อ่างทอง|อ.วิเศษชัยชาญ|ต.ศาลเจ้าโรงทอง
155|จ.อ่างทอง|อ.โพธิ์ทอง|ต.อ่างแก้ว
156|จ.อ่างทอง|อ.ป่าโมก|ต.ป่าโมก
157|จ.พระนครศรีอยุธยา|อ.นครหลวง|ต.นครหลวง
158|จ.ประจวบคีรีขันธ์|อ.บางสะพาน|ถนนชายทะเลเพชรเกษม
159|จ.ประจวบคีรีขันธ์|อ.ปราณบุรี|ต.เขาน้อย
160|จ.ฉะเชิงเทรา|อ.บางคล้า|ต.บางคล้า
161|จ.ฉะเชิงเทรา|อ.บางปะกง|ถ.สุขุมวิท
162|จ.ฉะเชิงเทรา|อ.พนมสารคาม|ถ.พนมพัฒนา
163|จ.สระบุรี|อ.พระพุทธบาท|ต.ธารเกษม
164|จ.สระบุรี|อ.แก่งคอย|ต.แก่งคอย
165|จ.สระบุรี|อ.หนองแค|ต.หนองแค
166|จ.สระบุรี|อ.บ้านหมอ|ต.บ้านหมอ
167|จ.สระบุรี|อ.มวกเหล็ก|ต.มิตรภาพ
168|จ.ลพบุรี|อ.เมือง|ต.เขาพระงาม
169|จ.ลพบุรี|อ.โคกสำโรง|ต.โคกสำโรง
170|จ.ลพบุรี|อ.บ้านหมี่|ถ.เทศบาล
171|จ.ลพบุรี|อ.พัฒนานิคม|ต.พัฒนานิคม
172|จ.สิงห์บุรี|อ.อินทร์บุรี|ต.อินทร์บุรี
173|จ.สิงห์บุรี|อ.บางระจัน|ต.สิงห์
174|จ.ปราจีนบุรี|อ.กบินทร์บุรี|ต.กบินทร์บุรี
175|จ.สระแก้ว|อ.อรัญประเทศ|ถ.ราษฎร์อุทิศ
176|จ.ปราจีนบุรี|อ.ประจันตคาม|ถ.ราษฎร์บำรุง
177|จ.ปราจีนบุรี|อ.ศรีมหาโพธิ|ต.ศรีมหาโพธิ
178|จ.สระแก้ว|อ.สระแก้ว|ถ.สุวรรณศร
179|จ.นครนายก|อ.บ้านนา|ถนนสุวรรณศร
180|จ.ชลบุรี|อ.พนัสนิคม|ถ.เมืองเก่า
181|จ.ชลบุรี|อ.บางละมุง|ต.นาเกลือ
182|จ.ชลบุรี|อ.บ้านบึง|ต.บ้านบึง
183|จ.ชลบุรี|อ.เมือง|ต.แสนสุข
184|จ.ชลบุรี|อ.พานทอง|หัวไผ่
185|จ.ชลบุรี|อ.บ้านบึง|ต.คลองกิ่ว
186|จ.ระยอง|อ.แกลง|ต.ทางเกวียน
187|จ.ระยอง|อ.บ้านค่าย|ถ.อาทิตย์ประดิษฐาน
188|จ.ระยอง|อ.บ้านฉาง|ถ.สุขุมวิท
189|จ.จันทบุรี|อ.ขลุง|1
190|จ.ลพบุรี|อ.ชัยบาดาล|ต.ลำนารายณ์
191|จ.สระแก้ว|อ.วังน้ำเย็น|ถ.จันทบุรี-สระแก้ว
192|จ.นครสวรรค์|อ.พยุหะคีรี|ถ.ศรีพยุหะ
193|จ.นครสวรรค์|อ.ชุมแสง|ถ.แสงสันติสุข
194|จ.นครสวรรค์|อ.บรรพตพิสัย|ต.ท่างิ้ว
195|จ.นครสวรรค์|อ.ตาคลี|ต.ตาคลี
196|จ.นครสวรรค์|อ.ลาดยาว|ต.ลาดยาว
197|จ.นครสวรรค์|อ.ท่าตะโก|ถ.ท่าตะโก-นครสวรรค์
198|จ.นครสวรรค์|อ.ตากฟ้า|ถ.พหลโยธิน
199|จ.สุโขทัย|อ.ศรีสำโรง|ต.คลองตาล
200|จ.สุโขทัย|อ.ศรีสัชนาลัย|ต.หาดเสี้ยว
201|จ.สุโขทัย|อ.ทุ่งเสลี่ยม|ถ.เข้าอำเภอ
202|จ.พิษณุโลก|อ.พรหมพิราม|ถ.พรหมวิถี
203|จ.พิษณุโลก|อ.บางกระทุ่ม|ถ.ออมสิน
204|จ.พิษณุโลก|อ.เมือง|ต.ในเมือง
205|จ.พิษณุโลก|อ.วังทอง|1
206|จ.ตาก|อ.แม่สอด|ถ.อินทรคีรี
207|จ.เพชรบูรณ์|อ.หล่มสัก|ถ.เวจี
208|จ.เพชรบูรณ์|อ.หนองไผ่|ถ.สระบุรี
209|จ.เพชรบูรณ์|อ.บึงสามพัน|ต.ซับสมอทอด
210|จ.กำแพงเพชร|อ.พรานกระต่าย|ถ.ประเวศไพรวัลย์
211|จ.พิจิตร|อ.ตะพานหิน|ต.ในเขต
212|จ.พิจิตร|อ.บางมูลนาก|ถนนประเทืองถิ่น
213|จ.ชัยนาท|อ.มโนรมย์|ต.คุ้งสำเภา
214|จ.ชัยนาท|อ.วัดสิงห์|ถ.ภูวสุวรรณวิถี
215|จ.ชัยนาท|อ.หันคา|ถ.บรรจบวิถี
216|จ.ชัยนาท|อ.สรรคบุรี|ต.แพรกศรีราชา
217|จ.อุทัยธานี|อ.หนองฉาง|ถ.หนองฉาก-อุทัยธานี
218|จ.เพชรบูรณ์|อ.หล่มเก่า|ถ.นฤพัฒน์
219|จ.เชียงใหม่|อ.สันป่าตอง|ต.ยุหว่า
220|จ.เชียงใหม่|อ.สันกำแพง|ถ.เชียงใหม่-สันกำแพง
221|จ.เชียงใหม่|อ.สารภี|ต.ยางเนิ้ง
222|จ.เชียงใหม่|อ.จอมทอง|บ้านหลวง
223|จ.เชียงใหม่|อ.เมือง|ต.ช้างเผือก
224|จ.เชียงใหม่|อ.แม่ริม|ต.ริมใต้
225|จ.เชียงใหม่|อ.สันทราย|ต.สันทรายหลวง
226|จ.เชียงใหม่|อ.ดอยสะเก็ด|ต.เชิงดอย
227|จ.ลำปาง|อ.งาว|ต.หลวงเหนือ
228|จ.ลำปาง|อ.เถิน|ต.ล้อมแรด
229|จ.ลำปาง|อ.ห้างฉัตร|ถ.ห้างฉัตร-เกาะคา
230|จ.ลำปาง|อ.แจ้ห่ม|ถ.อักโขชัย
231|จ.ลำปาง|อ.เมือง|ต.สบตุ๋ย
232|จ.ลำพูน|อ.ป่าซาง|ถ.ลำพูน-ลี้
233|จ.อุตรดิตถ์|อ.พิชัย|ต.ในเมือง
234|จ.อุตรดิตถ์|อ.ลับแล|ต.ศรีพนมมาศ
235|จ.อุตรดิตถ์|อ.ตรอน|ต.บ้านแก่ง
236|จ.แพร่|อ.เด่นชัย|ต.เด่นชัย
237|จ.แพร่|อ.สอง|ถ.บริพันธ์สงเคราะห์
238|จ.แพร่|อ.ร้องกวาง|ต.ร้องกวาง
239|จ.เชียงราย|อ.พาน|ถ.พหลโยธิน
240|จ.เชียงราย|อ.แม่จัน|ต.แม่จัน
241|จ.เชียงราย|อ.แม่สาย|ต.เวียงพางคำ
242|จ.พะเยา|อ.เชียงคำ|ต.หย่วน
243|จ.แม่ฮ่องสอน|อ.แม่สะเรียง|ถ.เวียงใหม่
244|จ.น่าน|อ.เวียงสา|ต.กลางเวียง
245|จ.น่าน|อ.ปัว|ถ.วรนคร
246|จ.นครราชสีมา|อ.บัวใหญ่|1
247|จ.นครราชสีมา|อ.ปักธงชัย|ต.เมืองปัก
248|จ.นครราชสีมา|อ.พิมาย|ต.ในเมือง
249|จ.นครราชสีมา|อ.สูงเนิน|ถ.มิตรสัมพันธ์
250|จ.นครราชสีมา|อ.สีคิ้ว|ถ.ผาสุก
251|จ.นครราชสีมา|อ.โชคชัย|ถ.ธนาคารออมสิน
252|จ.นครราชสีมา|อ.โนนสูง|ถ.ศรีธานี
253|จ.นครราชสีมา|อ.เมือง|ต.ในเมือง
254|จ.นครราชสีมา|อ.เมือง|ต.ในเมือง
255|จ.นครราชสีมา|อ.คง|ต.เมืองคง
256|จ.นครราชสีมา|อ.ด่านขุนทด|ถ.ชัยภูมิ-สีคิ้ว
257|จ.อุบลราชธานี|อ.พิบูลย์มังสาหาร|ถ.หลวง
258|จ.อำนาจเจริญ|อ.เมือง|ต.บุ่ง
259|จ.อุบลราชธานี|อ.วารินชำราบ|ถ.สถิตย์นิมานกาล
260|จ.อุบลราชธานี|ต.เดชอุดม|ต.เมืองเดช
261|จ.อุบลราชธานี|อ.เขื่องใน|ถ.แจ้งสนิท
262|จ.ยโสธร|อ.เลิกนกทา|ต.สามแยก
263|จ.สุรินทร์|อ.ศีขรภูมิ|ต.ระแงง
264|จ.สุรินทร์|อ.รัตนบุรี|ถ.ศรีนคร
265|จ.สุรินทร์|อ.ท่าตูม|ถ.ปัทมานนท์
266|จ.ชัยภูมิ|อ.ภูเขียว|ต.ผักปัง
267|จ.ศรีสะเกษ|อ.กันทรลักษ์|ต.น้ำอ้อม
268|จ.ศรีสะเกษ|อ.ราษีไศล|ต.เมืองคง
269|จ.บุรีรัมย์|อ.นางรอง|ถ.โชคชัย-เดชอุดม
270|จ.บุรีรัมย์|อ.ลำปลายมาศ|ถ.ราษฎร์ดำริ
271|จ.บุรีรัมย์|อ.ประโคนชัย|ถ.โชคชัย-เดชอุดม
272|จ.บุรีรัมย์|อ.สตึก|ต.นิคม
273|จ.บุรีรัมย์|อ.พุทไธสง|ถ.อภัยราฎร์
